абитуриент	entrant
доверенное лицо	envoy
доверенность	letter of attorney
доверие	confidence; tick; faith
доверчивый	gullible
доверчивый человек	easy touch
доверять	entrust; give credit
довести до конца	button up
доводить до бедности	impoverish
довольно	fairly; quite
довольный	contented
довольство	contentment
догадка	conjecture
догадываться	guess
догмат	tenet
договариваться	arrange; negotiate; stipulate
договор	covenant
договоренность	bargain
договорной	collusive
доказательство	evidence; testimony
доказывать	prove; substantiate; argue
доказывать несостоятельность	refute
доктрина	tenet
докучать	pester
долг	debt; liability
долговая расписка	debenture
долговечность	longevity
долговое обязательство	debenture; debt
долговременный	durable
долгожданый	long-awaited
долгожительство	longevity
долголетие	longevity
должен	ought
должностное лицо	official
должностное преступление	malfeasance
должный	due; proper
должным образом	properly
доля	incidence; stake; allotment
домашняя птица	poultry
домкрат	jack
домогаться	molest
донимать	pester
доносится	waft
доносить	whistleblow; denounce; snitch
дополнение	supplement
дополнительный	complementary
допрашивать	interrogate
допуск	permission
допускать	admit; concede; assume; tolerate
допущение	premise; presumption; admission; assumption
допытываться	elicit
дородный	portly
досада	chagrin; peeve
досаждать	faze; spite
доска	board; slate
доска объявлений	billboards
доскональность	thoroughness
дословно	verbatim; literally
досрочно	prematurely
доставать	reach
достаточное количество	sufficient
достаточный	sufficient; ample
достигать	attain; reach; accomplish
достижение	attainment; accomplishment
достичь	reach
достоверность	authenticity; veracity
достоинство	virtue; dignity; worth
достойный осуждения	reprehensible
достойный порицания	reprehensible
